file_name,folder,sub_path,data_source,period,quarter,file_type,size_kb,status,notes
Acute-Trust-Attribution-File-1.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,,,xls,135.0,raw,
April-26-AE-by-provider-v2-tKVXL.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,,,xls,417.0,raw,
May-26-AE-by-provider-QVPHP.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,,,xls,421.0,raw,
Quarterly-Annual-Time-Series-revised-Rq3p2f.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,,,xls,177.0,raw,
System-Mapping-Apr-26.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,,,xls,72.0,raw,
Supplementary-ECDS-Analysis-Time-Series-February-2023-Onwards-ALAW26 (1).xlsx,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2023-02,Q4 2022/23,xlsx,55.5,raw,
Supplementary-ECDS-Analysis-Time-Series-February-2023-Onwards-ALAW26.xlsx,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2023-02,Q4 2022/23,xlsx,55.5,raw,
April-2025-CSV-revised.csv,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-04,Q1 2025/26,csv,28.2,raw,
April-2025-NEL-YTD-Growth-rates-.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-04,Q1 2025/26,xls,171.5,raw,
Supplementary-ECDS-Analysis-April-2025-Final.xlsx,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-04,Q1 2025/26,xlsx,356.9,raw,
May-2025-AE-by-provider-RIgsW-revised.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-05,Q1 2025/26,xls,428.5,raw,
May-2025-NEL-YTD-Growth-rates-1-1.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-05,Q1 2025/26,xls,171.5,raw,
Supplementary-ECDS-Analysis-May-2025-Final-1.xlsx,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-05,Q1 2025/26,xlsx,354.9,raw,
June-2025-AE-by-provider-CkkTE-revised.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-06,Q1 2025/26,xls,429.5,raw,
June-2025-NEL-YTD-Growth-rates.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-06,Q1 2025/26,xls,172.0,raw,
Supplementary-ECDS-Analysis-June-2025-Final.xlsx,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-06,Q1 2025/26,xlsx,372.7,raw,
July-2025-CSV-revised.csv,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-07,Q2 2025/26,csv,28.3,raw,
July-2025-NEL-YTD-Growth-rates.xls,ae_emergency,ae_emergency/A&E attendances and emergency admissions,A&E attendances & emergency admissions,2025-07,Q2 2025/26,xls,172.0,raw,
