model,metric,estimate,ci_lower,ci_upper,bootstrap_unit,replicates
Persistence,mae,0.0066469791856779,0.006027786571571945,0.007297614304943429,provider,1000
Persistence,rmse,0.015747826974261546,0.013433972928710037,0.01836355141224794,provider,1000
Persistence,r2,0.5613986282954262,0.4459535640624177,0.6558592799838967,provider,1000
Persistence,spearman,0.8358737923601762,0.8176204971309469,0.852598462198513,provider,1000
Persistence,recall_at_20,0.5777777777777778,0.3833333333333333,0.6890277777777777,provider,1000
Persistence,ndcg_at_20,0.7720442465419457,0.6388696284071378,0.877988702913684,provider,1000
Random Forest,mae,0.006844034069210802,0.006292673831652377,0.007411671315911663,provider,1000
Random Forest,rmse,0.014340762974904673,0.012413072898618713,0.016865774771923737,provider,1000
Random Forest,r2,0.6362749331684052,0.5526881170574487,0.7105600448587119,provider,1000
Random Forest,spearman,0.8355812621665301,0.8159027103812564,0.8514421600441802,provider,1000
Random Forest,recall_at_20,0.5777777777777778,0.4222222222222223,0.7388888888888888,provider,1000
Random Forest,ndcg_at_20,0.7838104697198944,0.6684976969663592,0.8783274798766486,provider,1000
