feature,importance_mean,importance_sd
breach_52w_rate,0.006578950946200331,0.00012150245081078585
breach_52w_roll3,0.001098601515274216,2.646594037686392e-05
breach_18w_rate,0.0008034333993707064,5.1698050266393816e-05
breach_52w_rate_lag1,0.00034324664821540427,6.854828023008491e-06
breach_52w_roll6,0.00032914192793295544,6.311886454721831e-06
breach_18w_rate_lag1,0.00012719691119830785,1.3265450341648866e-05
breach_52w_rate_lag2,0.00012575570054859254,5.3658057720319845e-06
breach_52w_rate_lag3,0.0001066830794745519,3.2385780422255225e-06
breach_18w_rate_lag3,9.247570163708578e-05,1.6608165960651043e-06
breach_52w_mom_change,8.520478060448835e-05,1.5798035045514952e-05
backlog_growth_rate,7.517018233208616e-05,1.9080225910027003e-05
breach_52w_trend3,6.386116937204204e-05,3.3495642454796695e-06
breach_52w_acceleration,3.990381579823225e-05,3.447304307328674e-06
dta_rate,2.483793894275648e-05,3.439342113349029e-06
demand_rate,2.3537961949309483e-05,4.92430048540377e-06
demand_throughput_ratio,2.1178057008150973e-05,1.1220770976739788e-05
log_incomplete_total,2.1150702389518065e-05,1.119748134458601e-05
month_sin,1.018019575052872e-05,3.2512663798991088e-06
log_cancelled_operations,9.528241055678163e-06,5.161634344711304e-06
treatment_function_code,3.1187133372729757e-06,3.380934413936668e-06
bed_occupancy_rate,1.7931895608079562e-06,4.015999807517987e-06
month_cos,2.8656353695671875e-07,8.283186026975547e-07
cancel_28day_breach_rate,-5.715635361903601e-06,1.4451629774097912e-06
diagnostic_over_6w_rate,-8.900259007102105e-06,3.4012683207064105e-06
throughput_rate,-1.6486620537837712e-05,5.862766265274203e-06
