specialty,n,mae,rmse,r2,spearman
Elderly Medicine Service,667,0.0023800694810735662,0.006897924932943522,0.6353030546319668,0.41122593712913724
Ophthalmology Service,2206,0.0029210113197619884,0.007734682054393374,0.45677646174538855,0.7493001654934258
Rheumatology Service,1059,0.004344729258681896,0.009372319922992017,0.534690346661264,0.684425718059826
Respiratory Medicine Service,1084,0.004954086358586369,0.010160662029115886,0.368720978783049,0.7385964995668513
Cardiothoracic Surgery Service,179,0.005035861510205386,0.00782872756918378,0.8390435737934784,0.7905250102651205
Cardiology Service,1125,0.00566893607951293,0.010050962168571202,0.6216066862564011,0.8409834720173043
Other - Medical Services,1263,0.0057031850782318,0.009903276909419416,0.40987085991929495,0.8079545939292239
Other - Paediatric Services,1008,0.005985711260396995,0.01054769520196744,0.6034041608671413,0.826831313430423
General Internal Medicine Service,371,0.006109452529736534,0.01437247598183887,0.5723276259177492,0.6393302055155264
Gastroenterology Service,1425,0.006215299824305423,0.016566096959522127,0.2253280005327405,0.7821871087847022
Other - Surgical Services,1098,0.006637384468467011,0.010799813265229743,0.6039270098271134,0.8472301758403116
Trauma and Orthopaedic Service,2560,0.006703113500515054,0.01123642126592428,0.785143783140699,0.8557666719675098
Urology Service,1433,0.007353971128538247,0.01477084451026635,0.8182077046384004,0.849469366399897
General Surgery Service,1857,0.007632752915481311,0.017114070790645187,0.7355966711995245,0.8190844793322976
Dermatology Service,1011,0.007946183783413567,0.0148283260399648,0.47099274203530783,0.7963681531278012
Other - Other Services,981,0.008343166589666199,0.018300962600573147,0.26854807852825924,0.7233339179269848
Neurosurgical Service,288,0.008871456278384617,0.014687038011763468,0.326917661069718,0.7679020941034592
Neurology Service,805,0.009255868702052231,0.016494011624085703,0.29245270029007897,0.7757094649005991
Gynaecology Service,1522,0.009435574026432738,0.02409207088182111,0.40347268679819837,0.8394546900953711
Ear Nose and Throat Service,1290,0.010013096052332702,0.017157218211196312,0.549221795213972,0.8669090796626563
Oral Surgery Service,1005,0.010590607313019215,0.016396359896078384,0.6885665455048655,0.906869283557153
Plastic Surgery Service,659,0.011523099272438518,0.01973908216931986,0.7311033065959697,0.829081335149605
