strategy,minimum_high_need_share,provider_name,treatment_function_name,Random Forest,target_breach_52w_rate,high_equity_need,deprivation_disparity,ethnicity_disparity,age_disparity,sex_disparity
Equity-constrained forecast,0.0,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Ear Nose and Throat Service,0.1498272081370357,0.15019386003940763,False,0.00339432907127335,0.002828415075736279,0.027369087432716488,0.0023996046125172033
Equity-constrained forecast,0.0,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Oral Surgery Service,0.14257148196539074,0.14425393226583533,False,0.00339432907127335,0.002828415075736279,0.027369087432716488,0.0023996046125172033
Equity-constrained forecast,0.0,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Ear Nose and Throat Service,0.13254082000968193,0.12285633961203261,False,0.006151577395059775,0.026125275607303156,0.08975759030361219,0.006987405933018942
Equity-constrained forecast,0.0,LEWISHAM AND GREENWICH NHS TRUST,General Internal Medicine Service,0.12741442288283544,0.17857142857142858,False,0.008699633699633696,0.020574420892539448,0.04724233842098935,0.02737400951808866
Equity-constrained forecast,0.0,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,Trauma and Orthopaedic Service,0.12645805847176703,0.1603754743359297,True,0.0333137944509574,0.05009276437847865,0.16694427398381112,0.023910756552993795
Equity-constrained forecast,0.0,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Trauma and Orthopaedic Service,0.11934211409735976,0.19027149321266967,False,0.00339432907127335,0.002828415075736279,0.027369087432716488,0.0023996046125172033
Equity-constrained forecast,0.0,LEEDS TEACHING HOSPITALS NHS TRUST,Ear Nose and Throat Service,0.11042027423319732,0.07331975560081466,True,0.008786270517933542,0.012757390766519383,0.08494815994673777,0.07252712413326123
Equity-constrained forecast,0.0,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Elderly Medicine Service,0.10309161319811457,0.05584192439862543,True,0.016457640369608423,0.012883401728494934,0.07258404246356054,0.05729744724368713
Equity-constrained forecast,0.0,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,Other - Other Services,0.09998744813184944,0.07140880154995849,False,0.0130594294757225,0.016670993048945815,0.08309847903697794,0.03739868545218872
Equity-constrained forecast,0.0,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,Plastic Surgery Service,0.09901528882968459,0.1307743807185896,False,0.009187734636970923,0.008111537913212175,0.06750699160450635,0.020245354788600567
Equity-constrained forecast,0.0,THE ROYAL WOLVERHAMPTON NHS TRUST,Oral Surgery Service,0.09712654115298257,0.06600169779286927,False,0.02687840044822945,0.009500023491483406,0.10264676194694611,0.015954004082543327
Equity-constrained forecast,0.0,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,Gastroenterology Service,0.08989239855822838,0.09783928137897548,True,0.01796573802791518,0.04109908970431686,0.10927805188009265,0.05277305309196939
Equity-constrained forecast,0.0,MEDWAY NHS FOUNDATION TRUST,Rheumatology Service,0.0890662605987066,0.08665667166416792,True,0.04158532978408755,0.05191905358058091,0.173023574049885,0.09198217352195603
Equity-constrained forecast,0.0,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Gynaecology Service,0.08538711644168592,0.11751732829237554,True,0.0181962552737593,0.029402948374178894,0.10087544891716604,0.0923951597442545
Equity-constrained forecast,0.0,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Oral Surgery Service,0.08430966781014144,0.04080061585835258,False,0.01291798709641534,0.0332590771404121,0.06869757174392932,0.049078494168831976
Equity-constrained forecast,0.0,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Trauma and Orthopaedic Service,0.0840802310560005,0.09402823018458198,False,0.014265858118742175,0.02941142578789957,0.024400407650979616,0.02131872034543525
Equity-constrained forecast,0.0,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Cardiology Service,0.08357613009302119,0.12426928153875165,False,0.007474914741967792,0.015770359392732414,0.007333819116628781,0.040037223240651953
Equity-constrained forecast,0.0,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Other - Paediatric Services,0.08190464000213665,0.11937377690802348,False,0.00339432907127335,0.002828415075736279,0.027369087432716488,0.0023996046125172033
Equity-constrained forecast,0.0,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,General Surgery Service,0.07957959486734636,0.11083392729864576,False,0.014715530748139444,0.013737229303285463,0.07827559329466838,
Equity-constrained forecast,0.0,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,Oral Surgery Service,0.07617571214534592,0.06548856548856549,True,0.040379871983039786,0.05079315613052304,0.06697799263878557,0.006083490664988478
Equity-constrained forecast,0.1,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Ear Nose and Throat Service,0.1498272081370357,0.15019386003940763,False,0.00339432907127335,0.002828415075736279,0.027369087432716488,0.0023996046125172033
Equity-constrained forecast,0.1,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Oral Surgery Service,0.14257148196539074,0.14425393226583533,False,0.00339432907127335,0.002828415075736279,0.027369087432716488,0.0023996046125172033
Equity-constrained forecast,0.1,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Ear Nose and Throat Service,0.13254082000968193,0.12285633961203261,False,0.006151577395059775,0.026125275607303156,0.08975759030361219,0.006987405933018942
